latitude,longitude
-85.30697861527501,26.917283328655678
-85.30968116054557,26.86147863285024
-85.31264035158007,26.926749806144638
-85.3081508425757,26.93325017932608
-85.31142397561881,26.736823136801473
-85.30641582483065,26.81600217041376
-85.31183031270879,26.8038161102304
-85.31264599867013,26.927239758936
-85.30837893433552,26.75857761127968
-85.31314068448427,26.737593344491295
-85.3094599032127,26.95001341129248
-85.30119421403785,26.94426829285056
-85.30392173682216,26.731378479947615
-85.30524991068708,26.89234447007712
-85.30412405468371,26.88477219144384
-85.29963722442719,26.88371193455424
-85.30411831347547,26.88443913765408
-85.30552269916481,26.90921824452192
-85.29957716255639,26.92580341989408
-85.30172994912888,26.83517665476384
-85.30597230382452,26.79767898201024
-85.30223776008351,26.90755868099136
-85.30374870419053,26.76948922366368
-85.30223402431623,26.90762714601024
-85.29268252169184,26.92346491159296
-85.2923104725744,26.81092339727712
-85.29800774210773,26.87798630962464
-85.29538405338212,26.945063723243518
-85.297722419262,26.75458405623744
-85.29240094185326,26.82599069367168
-85.29471129671843,26.8631108579184
-85.29687634037231,26.912366209035838
-85.29496262118599,26.79856641227232
-85.29726682217094,26.778299815780798
-85.29549532277608,26.93001544490976
-85.28650270107215,26.93471670953952
-85.29028630209818,26.93543844494688
-85.2908280173128,26.811687447869758
-85.28653150123152,26.76839473426464
-85.28792752705559,26.8120128944352
-85.28562849533,26.86591221827424
-85.28637333203054,26.821700456880958
-85.29091092093896,26.895185055183358
-85.28476553308897,26.79573153258432
-85.2846698655913,26.83018869286752
-85.2850273843116,26.849943703523518
-85.28861755078316,26.93921614499904
-85.28921740930592,26.8204462157712
-85.29075500333414,26.754878836179838
-85.2914665924299,26.83522729035072
-85.28779720959244,26.8787282517216
-85.28648743944925,26.9346544253904
-85.28467416606757,26.90247729287136
-85.28514456867042,26.889725207653438
-85.28638731219839,26.8217846118
-85.28891173521637,26.8064584320528
-85.28478105534681,26.75321475585984
-85.28480635865424,26.95370362826496
-85.28308438713523,26.77366273710624
-85.28004625991734,26.76207598356384
-85.28127059972357,26.81924403660288
-85.28026636611261,26.7365581438968
-85.28235534780717,26.90885856544704
-85.28098639905599,26.800279464098878
-85.28001008234159,26.93909252760384
-85.27871487879484,26.7992850572448
-85.27963328387659,26.735900546899487
-85.2773968407326,26.8313209806624
-85.28383235217886,26.7850856976
-85.27862251991276,26.86109446802208
-85.27862705206454,26.73351316218211
-85.27766298519168,26.73801354854467
-85.2776918794692,26.871119601047038
-85.28421696679571,26.8752740964288
-85.27109307372574,26.8294738515072
-85.27217187788506,26.84709337166112
-85.27037105706097,26.79343058495328
-85.27692381078491,26.735344030895327
-85.27482758126744,26.755738927979518
-85.27176444757636,26.81761941875904
-85.27054148334335,26.77636639217472
-85.27085385430254,26.84419359284064
-85.26955712604148,26.861166736653118
-85.26893471246177,26.735843635352545
-85.26411264053128,26.83730358713856
-85.26890332043287,26.927120896056
-85.26765846286605,26.89576748329536
-85.26695987438522,26.79706493637216
-85.26863307097372,26.94821287638624
-85.26854477365256,26.89348484054784
-85.26968806975243,26.7659975077008
-85.26733678144811,26.867108929750078
-85.26599149255635,26.83110322386624
-85.26601778048462,26.85633947737056
-85.26836692651466,26.86592410456224
-85.26598878484907,26.8306898187696
-85.26580906258765,26.93719000834656
-85.26345389299487,26.792977955106238
-85.26963795544799,26.781459191131198
-85.263842448991,26.775574289942398
-85.26785579970458,26.93707280954688
-85.26405608999214,26.76171987037536
-85.26920320987503,26.91050600496384
-85.26393037707933,26.72767354775059
-85.25725959265706,26.88361018792896
-85.2624379177805,26.81355311963424
-85.25618871614343,26.754778991360638
-85.25670949368563,26.83278489589248
-85.26210929768163,26.92344161446848
-85.26248678393324,26.77477410503424
-85.26019986593984,26.84742238411296
-85.2564004385819,26.74029650033568
-85.26044387090988,26.81701916121504
-85.26180959792377,26.87189030796096
-85.26056635484554,26.93685956954016
-85.25604306465877,26.92165748263968
-85.25996528002644,26.7680835512448
-85.26245683842818,26.77467140750592
-85.25762902818539,26.7912463606704
-85.25618264190167,26.754878836179838
-85.262163627756,26.843279775019198
-85.2602628527137,26.89896655884768
-85.25591276891518,26.76281507295168
-85.259020044027,26.93788416756576
-85.26043823105967,26.81325334745088
-85.25223820740653,26.84438686388352
-85.24163038762508,26.85218688379488
-85.24642066209456,26.80319255556192
-85.24294840396774,26.802254489712958
-85.24333068300605,26.909358978171838
-85.24121176449427,26.92783074517536
-85.24434983072668,26.8561740202416
-85.24258142999149,26.871720571768318
-85.24185134088387,26.77986119857248
-85.24739372811224,26.92515062495712
-85.24465517178271,26.902187029718398
-85.24608807744886,26.738686669034113
-85.24332397165671,26.90927458552704
-85.2425824363319,26.871664230763198
-85.2460538835945,26.95182607021248
-85.24122371026172,26.86193054952
-85.2466043228393,26.91153963656832
